epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,973.883,1.43881,2.59991,1.71379,0.42261,0.42245,0.39634,0.17079,1.78088,2.87234,2.1193,0.000368089,0.000368089,0.000368089
2,2088.01,1.45908,2.18768,1.74745,0.57137,0.38702,0.40218,0.17205,1.85447,2.6042,2.27785,0.000723801,0.000723801,0.000723801
3,3141.46,1.48874,2.11874,1.76627,0.44646,0.37891,0.39211,0.17938,1.79099,2.50284,2.12825,0.00106485,0.00106485,0.00106485
4,4188.64,1.48734,2.05709,1.76764,0.58447,0.50718,0.52761,0.26329,1.67893,1.96763,2.05468,0.00104501,0.00104501,0.00104501
5,5231.95,1.4527,1.94182,1.74667,0.48537,0.48986,0.46758,0.22152,1.78686,1.90586,2.09902,0.00102301,0.00102301,0.00102301
6,6266.6,1.43049,1.88783,1.72423,0.55963,0.51642,0.52001,0.24873,1.74278,1.81958,2.09621,0.00100101,0.00100101,0.00100101
7,7308.95,1.40448,1.78398,1.69565,0.65694,0.51905,0.57521,0.26655,1.7778,1.76384,2.10515,0.000979013,0.000979013,0.000979013
8,8350.41,1.40121,1.77114,1.69027,0.63498,0.60777,0.63351,0.31536,1.68993,1.54799,1.99819,0.000957015,0.000957015,0.000957015
9,9394.02,1.36542,1.71488,1.66827,0.65984,0.57327,0.61741,0.32015,1.6155,1.52576,1.94131,0.000935018,0.000935018,0.000935018
10,10464.9,1.35686,1.63348,1.65461,0.67675,0.58166,0.62483,0.33871,1.53455,1.51573,1.8523,0.00091302,0.00091302,0.00091302
11,11547.9,1.32816,1.60795,1.63768,0.65731,0.56412,0.61101,0.32276,1.6044,1.59365,1.93381,0.000891022,0.000891022,0.000891022
12,12593.4,1.3358,1.5709,1.6345,0.68073,0.66984,0.69231,0.3877,1.49249,1.33582,1.79925,0.000869024,0.000869024,0.000869024
13,13652.4,1.30683,1.53259,1.60706,0.71282,0.62054,0.67581,0.36182,1.55318,1.35689,1.86936,0.000847026,0.000847026,0.000847026
14,14698,1.27288,1.47841,1.58756,0.73079,0.64639,0.70122,0.39933,1.47076,1.26279,1.82929,0.000825029,0.000825029,0.000825029
15,15758.2,1.28644,1.46515,1.5875,0.7051,0.64066,0.70588,0.37629,1.5799,1.29645,1.85525,0.000803031,0.000803031,0.000803031
16,16771.2,1.27077,1.44358,1.57747,0.75656,0.67839,0.73696,0.41117,1.49112,1.21,1.7798,0.000781033,0.000781033,0.000781033
17,17753.9,1.24758,1.41832,1.56223,0.76783,0.6465,0.70331,0.39903,1.40898,1.31465,1.73943,0.000759035,0.000759035,0.000759035
18,18717.7,1.23722,1.3906,1.54914,0.79818,0.69022,0.76222,0.431,1.44468,1.14035,1.74336,0.000737037,0.000737037,0.000737037
19,19716.9,1.22625,1.36552,1.54477,0.75498,0.71116,0.76483,0.43601,1.40801,1.13924,1.71367,0.00071504,0.00071504,0.00071504
20,20681.4,1.22514,1.32632,1.54238,0.77775,0.71694,0.7732,0.45083,1.41072,1.09223,1.72644,0.000693042,0.000693042,0.000693042
21,21666.1,1.21452,1.32108,1.54152,0.81446,0.73065,0.79479,0.46785,1.38328,1.10767,1.68536,0.000671044,0.000671044,0.000671044
22,22653.2,1.20477,1.2918,1.52457,0.80984,0.67921,0.77009,0.44001,1.43966,1.15362,1.76418,0.000649046,0.000649046,0.000649046
23,23628.6,1.19713,1.31536,1.52355,0.76228,0.71009,0.77565,0.46723,1.32494,1.06147,1.64359,0.000627048,0.000627048,0.000627048
24,24593.3,1.18841,1.27938,1.52881,0.82223,0.69562,0.80124,0.48684,1.29215,1.06369,1.63133,0.000605051,0.000605051,0.000605051
25,25560.6,1.16942,1.25652,1.5022,0.80808,0.71839,0.79274,0.46989,1.33824,1.03485,1.66938,0.000583053,0.000583053,0.000583053
26,26529.8,1.16725,1.23558,1.49903,0.80664,0.74279,0.80507,0.49987,1.27649,0.99885,1.60054,0.000561055,0.000561055,0.000561055
27,27492.4,1.17396,1.21279,1.50226,0.85075,0.71592,0.80848,0.48846,1.31685,0.99966,1.6492,0.000539057,0.000539057,0.000539057
28,28457.1,1.15825,1.21159,1.49054,0.85344,0.72847,0.82153,0.49935,1.30334,1.01242,1.61753,0.000517059,0.000517059,0.000517059
29,29535.9,1.13368,1.16994,1.474,0.85078,0.73147,0.82262,0.49675,1.30161,0.9938,1.63499,0.000495062,0.000495062,0.000495062
30,30602.7,1.13165,1.16396,1.47507,0.82798,0.74524,0.82494,0.49647,1.29376,0.9681,1.61733,0.000473064,0.000473064,0.000473064
31,31674.5,1.14605,1.18183,1.48907,0.81717,0.7377,0.81315,0.48816,1.3267,0.98602,1.65051,0.000451066,0.000451066,0.000451066
32,32718.8,1.13568,1.13938,1.47165,0.84088,0.74229,0.82183,0.48181,1.35211,0.96145,1.6643,0.000429068,0.000429068,0.000429068
33,33741.4,1.11996,1.11647,1.45318,0.84376,0.7457,0.83492,0.50678,1.28794,0.91993,1.61661,0.00040707,0.00040707,0.00040707
34,34808.4,1.11255,1.10153,1.45085,0.84488,0.75387,0.84199,0.50396,1.32265,0.92251,1.62121,0.000385073,0.000385073,0.000385073
35,35842.4,1.09182,1.07386,1.43914,0.88012,0.7468,0.8524,0.53361,1.24062,0.88871,1.56664,0.000363075,0.000363075,0.000363075
36,36878.1,1.11411,1.10468,1.44867,0.87106,0.77264,0.85355,0.5196,1.29711,0.89138,1.59355,0.000341077,0.000341077,0.000341077
37,37918.3,1.08389,1.08094,1.43229,0.86827,0.78869,0.86245,0.54516,1.22639,0.86774,1.5521,0.000319079,0.000319079,0.000319079
38,38955.7,1.08308,1.04287,1.43017,0.85832,0.77057,0.86324,0.55375,1.23126,0.86205,1.54615,0.000297081,0.000297081,0.000297081
39,39990.7,1.0794,1.03395,1.42667,0.83798,0.78932,0.84917,0.53729,1.2095,0.86374,1.55116,0.000275084,0.000275084,0.000275084
40,41017.2,1.06953,1.02042,1.41829,0.86215,0.77323,0.85542,0.5559,1.17835,0.83009,1.5244,0.000253086,0.000253086,0.000253086
41,41937.3,1.00483,0.81542,1.43774,0.86372,0.79509,0.86776,0.55902,1.18887,0.84788,1.5229,0.000231088,0.000231088,0.000231088
42,42872.3,0.97758,0.76072,1.42392,0.85261,0.80192,0.87574,0.56679,1.18946,0.82512,1.51272,0.00020909,0.00020909,0.00020909
43,43785.5,0.95782,0.72171,1.39641,0.85517,0.79278,0.87404,0.5678,1.17963,0.82337,1.50201,0.000187092,0.000187092,0.000187092
44,44702,0.94844,0.7119,1.38585,0.89712,0.77593,0.87866,0.57931,1.14429,0.80601,1.49571,0.000165095,0.000165095,0.000165095
45,45627.7,0.92046,0.6973,1.37039,0.90789,0.77627,0.87739,0.57937,1.15227,0.80057,1.49345,0.000143097,0.000143097,0.000143097
46,46546.5,0.92133,0.68357,1.36378,0.90179,0.78491,0.87438,0.57425,1.15684,0.79964,1.50142,0.000121099,0.000121099,0.000121099
47,47473.9,0.90516,0.65998,1.35328,0.87814,0.80359,0.87923,0.57847,1.15321,0.79359,1.49312,9.91012e-05,9.91012e-05,9.91012e-05
48,48380.3,0.90271,0.65805,1.34971,0.89361,0.79975,0.88533,0.57948,1.1609,0.78204,1.49111,7.71034e-05,7.71034e-05,7.71034e-05
49,49344.6,0.89585,0.65423,1.34743,0.88923,0.80194,0.8863,0.58247,1.15821,0.78062,1.48904,5.51056e-05,5.51056e-05,5.51056e-05
50,50272.4,0.88848,0.63736,1.34033,0.88672,0.81002,0.89098,0.58645,1.14064,0.76926,1.48142,3.31078e-05,3.31078e-05,3.31078e-05
